	had_prior_chemotherapy	history_drinking	age_decades:history_smoking	bmi_scaled	is_male
ARID1A	0.522267509340764	0.252583697353028	0.05457859614270187	0.24779464807844226	0.16154711630280885
CDKN1A	0.5105981759977435	0.24397173645332793	0.06762923512631798	0.5089068815384721	0.34731913470606723
CREBBP	0.4443270497494801	0.18932524420231267	0.051244144958299334	0.24338782568078643	0.17918002022900625
EP300	0.3782901429069826	0.12159123525952768	0.04283999669817905	0.16441728209402756	0.209545409380471
FOXQ1	0.5371658780194212	0.5497824463894363	0.07813024608975702	0.4023803564864591	0.376591018016633
KDM6A	0.2677981396022774	0.1134136795364785	0.037388172342135255	0.11613560827581981	0.18069047838566443
KMT2C	0.297699309071566	0.1332528192745576	0.03173126974868657	0.06746232545297912	0.10139585480661178
KMT2D	0.5074657048042407	0.15082954362019488	0.060453591906533384	0.27185526144775507	0.1676857360581108
NOTCH2	0.40447986687860793	0.1669451457162154	0.045184564886688094	0.2269894796536976	0.16016217034062574
RB1	0.3412017860231839	0.09541870908203486	0.03228510704647044	0.16995097772045537	0.12071881488382842
RBM10	0.6135818238841768	0.29689041143157346	0.06547626703431597	0.4750754199895829	0.1374383511693949
STAG2	0.3374299507815286	0.23773119093324835	0.04911263263637394	0.1752583844369358	0.0634638510359497
TERTpromoter	0.9762476646201469	0.883050086047825	0.136235164897508	1.2336321056311552	0.611126640242382
TP53	0.4797089558894563	0.2068542897547243	0.04693366753775004	0.3874696268086527	0.1778909001127164
total	0.40075376660660783	0.14211130108449646	0.04514852521518123	0.20208005884329322	0.13646131130958758
