	had_prior_chemotherapy	bmi_scaled	is_male	age_decades:history_smoking
ARID1A		-0.2258010481657646	0.5862307791802952	0.09037680832558448
CDKN1A		-0.026596758710222993	0.8064466569549534	0.07381389440574664
CREBBP	0.5093269297144483	-0.1864032687545419	-0.3755575426750983	0.08516148022675428
EP300	0.4535337671058794	0.10036153706557853	-0.2426693522050497	0.09527365736573465
FOXQ1		-0.10579913996182548	0.35502719121122966	0.18834253558479117
KMT2C	0.23676976726039703	0.10271610584665868	0.004863347285600181	0.03401863552129858
KMT2D		-0.5086947409820313	-0.5198470032170991	0.15897181673045035
NOTCH2	0.3994839152657595	-0.3220478241191343	-0.19925165550507087	0.07083239026335537
RB1	0.2006195505312262	-0.010024752436246192	-0.06892107268237298	0.02405378255936751
RBM10		-1.8220402516090841	2.170364456895194	0.2741717492981273
STAG2		-0.44903409712156134	0.5383859130089691	0.15788382524006023
TERTpromoter		14.2295085512146	-27.445861932323826	8.568911005769355
TP53	0.5968267795496329	-0.055753254122748425	-0.23462407189291917	0.11883107529491799
total		-0.18686071898518797	-0.1569119670950479	0.11536000172514488
