	is_male	had_prior_chemotherapy	history_smoking	bmi_scaled	age_decades
ARID1A	-0.03310913577464544	0.34404536274695635	0.11205925323134454	0.004817205074239336	0.03396414486843273
CDKN1A	0.10524992534474216	0.2246282087887493	0.1712535542625171	0.1444316279587719	0.02825327142353073
CREBBP	-0.004825797471519164	0.29967862411616125	0.1166279227121304	0.017919382502961646	0.028190396157601414
EP300	0.07336930676771733	0.24030419668868377	0.07707095888334553	-0.008725579960304207	0.027057942329094156
FOXQ1	0.08906984176272287		0.03147989817502014	0.17368873360333548	0.12372502827517498
KDM6A	0.05971830319055606	0.14578530679623575	0.042721005662740195	-0.0008275660668905764	0.03724663358202849
KMT2C	-0.022861556839971046	0.18006121682445414	0.051461803241222785	-0.07410057683309337	0.031291804101509675
KMT2D	-0.05006030905606165	0.30144709056997054	0.1306029483940354	0.011018605300291862	0.044891176094812704
NOTCH2	0.002818160127361266	0.255845184191748	0.05924343903876316	0.0021387594796754674	0.026995211273394073
RB1	0.0026541067215051384	0.22352466702081575	0.04331859167251082	0.006972937833644291	0.021842928356621244
RBM10	-0.11425474622765569	0.35898237643830977	0.1125429047377371	0.1316816973332219	0.062455124811873305
STAG2	-0.12099999814803228	0.12604447226317803	0.09408220802440817	-0.023783022915497255	0.06242475186470328
TERTpromoter	-0.01024435077216273		0.08661132295452294	0.12776937504454536	0.0969503085335514
TP53	0.027111084015347495	0.343039107561707	0.07269584597846669	0.1640495444493821	0.02257503037558503
total	-0.015477251633260334	0.2602861963134294	0.09460269736132836	0.0410759361172625	0.03790400442689001
