	had_prior_chemotherapy	history_drinking	history_smoking	bmi_scaled	is_male	age_decades
ARID1A	0.522267509340764	0.252583697353028	0.3347867649504256	0.24779464807844226	0.16154711630280885	0.07057223266513102
CDKN1A	0.5105981759977435	0.24397173645332793	0.4745915012124978	0.5089068815384721	0.34731913470606723	0.08958879666669914
CREBBP	0.4443270497494801	0.18932524420231267	0.31974771417659514	0.24338782568078643	0.17918002022900625	0.06635785373753657
EP300	0.3782901429069826	0.12159123525952768	0.2749463351197735	0.16441728209402756	0.209545409380471	0.0620301864991631
FOXQ1	0.5371658780194212	0.5497824463894363	0.47103759319960437	0.4023803564864591	0.376591018016633	0.16449089598064748
KDM6A	0.2677981396022774	0.1134136795364785	0.2217798164328779	0.11613560827581981	0.18069047838566443	0.06064004714992532
KMT2C	0.297699309071566	0.1332528192745576	0.19338583726519692	0.06746232545297912	0.10139585480661178	0.04563197885282459
KMT2D	0.5074657048042407	0.15082954362019488	0.36664887017432923	0.27185526144775507	0.1676857360581108	0.07995133268716735
NOTCH2	0.40447986687860793	0.1669451457162154	0.2618545343022256	0.2269894796536976	0.16016217034062574	0.05411600967285053
RB1	0.3412017860231839	0.09541870908203486	0.20214092366185316	0.16995097772045537	0.12071881488382842	0.04558053924898238
RBM10	0.6135818238841768	0.29689041143157346	0.39842402463541937	0.4750754199895829	0.1374383511693949	0.10074252920507155
STAG2	0.3374299507815286	0.23773119093324835	0.27859214287991657	0.1752583844369358	0.0634638510359497	0.07439860967670175
TERTpromoter	0.9762476646201469	0.883050086047825	0.8509726583953325	1.2336321056311552	0.611126640242382	0.1505379364708635
TP53	0.4797089558894563	0.2068542897547243	0.2999901037303666	0.3874696268086527	0.1778909001127164	0.06954136033477618
total	0.40075376660660783	0.14211130108449646	0.2762224123761549	0.20208005884329322	0.13646131130958758	0.06938451789183295
