	had_prior_chemotherapy	history_drinking	history_smoking	bmi_scaled	is_male	age_decades
ARID1A	1.1745423001389653e-06	0.8009844128629074	0.18122691910462602	0.7968190663113832	0.9999365030331339	1.5246897806658193e-20
CDKN1A	0.10167407232606977	0.9353557416382187	0.15748483734521887	0.9999365030331339	0.5659572379616933	1.3745470844185266e-14
CREBBP	1.2703978616440348e-06	0.9218035933899116	0.06528688427850589	0.854414313826152	0.8009844128629074	3.757294244543651e-25
EP300	4.540196132041259e-05	0.8953508802119782	0.10167407232606977	0.6860731672836011	0.3701865878473364	1.033351803201626e-26
FOXQ1	0.388243839920857	0.5006538488550493	0.6246797118179669	0.7421621822376637	0.8009844128629074	6.07032295884079e-37
KDM6A	0.001534853053209791	0.9999365030331339	0.06528688427850589	0.6246797118179669	0.18669363161559585	2.1928325645824364e-60
KMT2C	3.432368316623786e-05	0.9218035933899116	0.2278931547563902	0.3701865878473364	0.9999365030331339	8.986030292079496e-27
KMT2D	3.432368316623786e-05	0.8347984108337501	0.10167407232606977	0.8009844128629074	0.9999365030331339	1.8304805020048733e-27
NOTCH2	2.5283652164536766e-06	0.9774005917410659	0.18144311369927205	0.859374372357493	0.8347984108337501	6.071870540652957e-21
RB1	2.1314504511575613e-05	0.8009844128629074	0.41222504000401994	0.7968190663113832	0.9774005917410659	4.849732262309584e-17
RBM10	0.00020015068046226364	0.9184637024302859	0.3281836696344507	0.9999365030331339	0.7861904428774857	1.033351803201626e-26
STAG2	0.06528688427850589	0.7968190663113832	0.31323947784825584	0.6246797118179669	0.5055403067128196	1.458430128088251e-33
TERTpromoter	0.4434563661399238	0.7861904428774857	0.6817997465240918	0.9999365030331339	0.9353557416382187	5.841564767152494e-07
TP53	5.589830194674741e-07	0.9218035933899116	0.2278931547563902	0.9218035933899116	0.8972578600303035	1.304008210675002e-22
total	6.877609465501171e-07	0.9953529292922607	0.09371843077778794	0.8009844128629074	0.9718739190476132	4.125388348867868e-38
