	is_male	had_prior_chemotherapy	history_smoking	bmi_scaled	age_decades	history_drinking
ARID1A	0.4487530433136249		-0.028449332185827892	-0.2155676285717357	0.13905528400069628	0.3971321864200131
CDKN1A	0.8355076998145533		-0.011059117126307692	-0.00042412075114644284	0.19005690210445897	
CREBBP	-0.2989471621578919	0.5138819882833381	0.2945470362108365	-0.07831908830804123	0.1292855375208176	
EP300	-0.18993906007427658	0.44372407186251805	0.286977546823373	0.054759441254233855	0.12446425566774881	
FOXQ1	0.4023016032457717		0.5182394604851702	-0.4571166343842851	0.2106306802727122	
KDM6A	0.4347354320016327		-0.022949703835982185	0.9172152394577314	0.32843832299421427	
KMT2C	0.020495942603280033	0.22838598710913813	0.0700442473378454	0.059398831597777896	0.047374806873929046	
KMT2D	-0.35377159299083755		0.18953762848188122	-0.30046207814429815	0.3091927668323214	
NOTCH2	-0.13001330527311825	0.40465347743566055	0.224317971811228	-0.23176080145363004	0.1086594709345963	
RB1	-0.051869035578512995	0.20368938842588916	0.10384757044039879	0.009228544154150777	0.03157570882994049	
RBM10	2.1636750431630642		-0.10113455020958415	-2.4710305649586903	0.5544261806086198	
STAG2	0.5858993138744032		0.4106826311689631	-0.6626733403359782	0.20356745899592424	
TERTpromoter	-25.25204762167052		30.75288585793348	-9.54817720257841	4.838533771821403	
TP53	-0.19229304151146864	0.5335150086006867	0.13284845722404778	-0.20090277126933853	0.2141342864947655	
total	-0.0663430491640132		0.2080924359464322	-0.12379162556692759	0.20082882664473836	
