	is_male	had_prior_chemotherapy	history_smoking	bmi_scaled	age_decades	history_drinking
ARID1A	-0.23642969327903046		-0.8291471964037731	-1.7334829692036238	0.001600502980327101	-0.241825793501725
CDKN1A	0.14428314423557942		-0.7819360378463643	-1.253861321608401	0.07447084704312944	
CREBBP	-0.6457864988299493	0.1481173353455188	-0.09268730412045811	-0.7212653259956634	0.06822148681988438	
EP300	-0.5262130668547995	0.08893947137348124	-0.0885471495654166	-0.5690681625204789	0.06522708282290923	
FOXQ1	-0.47666470814136674		-0.46058067972324623	-2.044974531011913	0.06397353858644478	
KDM6A	-0.6126232599027719		-1.1927368507925087	-0.990076207748061	0.1527961084304366	
KMT2C	-0.1396009151891561	0.059617168435875	-0.10862814032560253	-0.23700584813515427	0.019214130507800922	
KMT2D	-0.8712797180985483		-0.38865832842696874	-1.2436444071564754	0.22235501166035654	
NOTCH2	-0.3968657242231691	0.12326620812427425	-0.07360340671454249	-0.7262525635972414	0.06168975585257921	
RB1	-0.16718504645185195	0.08272260722322265	-0.024387852453020623	-0.20189788596137503	0.011463710771077325	
RBM10	0.432295128640221		-2.0348158318439675	-5.6234202514478655	0.2640963970474442	
STAG2	-0.26378328318513056		-0.5380029077186086	-2.208446823744415	0.06116489397024466	
TERTpromoter	-59.09118528820879		-6.902003473004893	-70.64127949508276	-0.8017314138731741	
TP53	-0.7916390512827257	-0.09845158638732354	-0.5361105365721403	-1.3112176476621193	0.10866279584515676	
total	-0.38876126492477336		-0.152080294215393	-0.7111752622058036	0.14674187056158522	
