	is_male	had_prior_chemotherapy	history_smoking	bmi_scaled	age_decades	history_drinking
ARID1A_missense	0.8417705035868672		0.23887626360822298	1.2045716103840882	0.22842361153002613	
ARID1A_truncating	28.304892903366763		5.17346036635606	16.520272790206754	2.7704795004703424	
CDKN1A_missense	2.478685005751357		1.457895342730187	3.1428847936122324	0.4759514753348837	
CDKN1A_truncating	27.04995852281983		-2.1639122326121534	43.855535281502966	3.2501688352101175	
CREBBP_missense	0.12112229389208728		1.6503457272256405	3.2084428915971674	0.5288911603164613	
CREBBP_truncating	1.0268829068490364		6.582373573600927	8.996818903883806	1.8737595019406394	
EP300_missense	0.5335779669369601		2.34416352800203	4.919784782081292	0.46010540916559356	
EP300_truncating	1.6852435627244737		4.977997299655788	10.563053482031226	1.468598479876491	
FOXQ1_missense	1.4639426931427137	-0.4461789130172362	1.6704833436886501	1.657863278557323	0.559154005495532	
KDM6A_missense	2.5139597835245455	-0.22337389516634265	1.1569410728263603	4.268799653384771	0.6823215513741788	
KDM6A_truncating	32.28737790274281	-13.279871531897438	8.406553103428136	74.77628316758839	8.764256185564326	
KMT2C_missense	0.49130839828958495		0.6390075634747714	2.0003333950419333	0.19585541513770854	
KMT2C_truncating	2.6401952529009654	0.40315314384280554	1.6757767204980667	3.4905524601597167	0.6843081344143219	
KMT2D_missense	0.40193011431313874		0.5589437708093743	1.4206877933887214	0.353552382045103	
KMT2D_truncating	2.0033724908189026	-5.992801789749965	12.811050126992377	22.89947950438451	6.79651797798849	
NOTCH2_missense	0.6223643874581322		1.7635965945143086	2.954827114953999	0.4908121998205738	
NOTCH2_truncating	1.5435055173215413		5.606673844509136	8.274978981283656	1.505197031152587	
RB1_missense	1.3075671858254792		0.6326432727161629	2.3294470170982704	0.3570522443814804	
RBM10_missense	2.311413337556782		0.01162273401277436	-0.5771287834630145	0.9227085080535997	2.5368850007091277
RBM10_truncating	54.30588753035719	-9.52482643896268	19.408439466095487	12.508042183225616	10.666363601556238	
STAG2_missense	1.2739958956321429	0.1182783140244309	1.0338683151630659	2.7185214793769985	0.37167046577033613	
STAG2_truncating	22.427634744766927	-2.7686452264313957	24.16132364471435	23.943475380878404	3.6484462119558447	
TP53_missense	1.4144230549369883		3.304255416565295	6.257599731855432	1.4749686303615444	
total_truncating	11.828235717110871	-4.757566186164864	4.095674008429494	14.430579475409889	3.527922180664377	
total_missense	1.6453937944250328		13.761323581164715	12.277538648284825	2.3834430528488024	
