	had_prior_chemotherapy	history_drinking	history_smoking	bmi_scaled	is_male	age_decades
ARID1A_missense	-0.3660120311247474	-0.09318753920377693	-0.36232828482246476	-0.9997018484063078	-0.04928376910577442	0.18830971492021417
ARID1A_truncating	-16.937172257508436	-1.9703804225820942	-5.459244221957026	-28.511875873217264	6.9718744973742925	1.884482398224324
CDKN1A_missense	-1.77319091359744	-0.5712653222921766	-1.1335139860615968	-3.5238965678597887	-0.2617525120388562	0.3333907356142386
CDKN1A_truncating	-17.972984498985404	-11.190145062548568	-25.38487693530242	-12.98693059343525	-0.04880322682061866	2.070519036277645
CREBBP_missense	-1.2956452192417123	-0.45586748887069584	-0.7952149029632971	-2.196963114200857	-1.7930918885045832	0.326528533314953
CREBBP_truncating	-4.029325256506508	-3.4261845884525415	-6.244296589720718	-11.712903789576394	-7.381499907605985	0.47585710315961904
EP300_missense	-1.653023089676964	-0.7205882385144484	-0.4829126715208065	-0.8304136166197205	-1.6715619274072995	0.3429762145023225
EP300_truncating	-5.4199569777059065	-2.9757577038944323	-2.9789454617291784	-4.275477168907872	-4.292603862975285	0.7979182582867779
FOXQ1_missense	-2.414106160390954	-1.5118864015401257	-0.7845938927197865	-2.88339695205905	-0.15331973651247033	0.32276142522989204
KDM6A_missense	-2.6387639294441776	-0.8479157144570348	-1.1244749402415202	-2.4462595852298925	-0.08806747492888556	0.5075967536046662
KDM6A_truncating	-49.48523816750743	-20.457386162373183	-28.250119431637476	-23.252121384708516	-11.377943644413431	4.991215805738405
KMT2C_missense	-0.522881766998283	-0.23045052039790445	-0.1905858917504	-0.08270452576894616	-0.34136604033496	0.18024189379839062
KMT2C_truncating	-3.037011519701548	-1.3755293903649504	-1.0284608013269056	-4.227749336960431	-1.0692574764912115	0.4861042645484878
KMT2D_missense	-0.8466679245750198	-0.8122855919287839	-0.3234367170585144	-1.370640314859938	-0.5401987073331151	0.2531271974735421
KMT2D_truncating	-24.056883179469807	-12.513655574496852	-12.477054228493323	-31.124614400135115	-17.126777614135015	2.874789800752658
NOTCH2_missense	-1.2771308455701897	-0.3326305645125982	-0.5606926963251521	-2.235553267330941	-1.2748406845279614	0.3251688300054761
NOTCH2_truncating	-4.231247756946256	-0.8844154723273419	-2.8799131694540208	-5.997130794076993	-4.449420531498541	0.6970143155087479
RB1_missense	-0.5694951497652248	-1.165158815495512	-0.8753161881808458	-1.6313808215118053	-0.5482599194025988	0.23433579693141166
RBM10_missense	-1.8073575005851599	0.06522592487375056	-1.3273415242647053	-6.113250012652825	0.09577767317053043	0.42570647457544597
RBM10_truncating	-51.56941980922055	-8.343713705760262	-10.805850626850974	-86.39531183426607	19.19499097837868	5.4509150207204256
STAG2_missense	-1.647266769121857	-1.1890543833946465	-0.7058933919704765	-1.5966087863319463	-0.3961370857725262	0.2332460340134175
STAG2_truncating	-28.072228125405587	-22.132989268916425	-0.5825314209801231	-35.65091155512384	1.6788382999106677	1.8976611175481644
TP53_missense	-3.7015943510884837	-3.2707287880179345	-2.549490288687786	-7.238143025266254	-3.8215102623033363	0.6872680543073992
total_truncating	-15.334432256555985	-5.26732903724441	-5.883132012127928	-16.30463705938579	0.2014740087661675	2.2812481896404244
total_missense	-10.123343205163142	-15.300084704982071	-0.7948621900868824	-15.432045748701162	-8.63105682274948	0.8321970625463126
