	had_prior_chemotherapy	history_drinking	history_smoking	bmi_scaled	is_male	age_decades
ARID1A_missense	0.9643098464081706	0.35475747577156436	0.9643098464081706	0.8115658538723577	0.27732594067223243	3.0747030678675612e-46
ARID1A_truncating	0.490004051458653	0.3036510249175462	0.6764654988105264	0.8115658538723577	0.001860131093985913	1.453092342220665e-11
CDKN1A_missense	0.6509205221185603	0.6014489523418904	0.917059462534492	0.7515712384424322	0.35475747577156436	5.674325428914541e-18
CDKN1A_truncating	0.4473754573668227	0.9643098464081706	0.02639956560059269	0.7515712384424322	0.17458012724022223	3.1495118513302664e-11
CREBBP_missense	0.8115658538723577	0.6509205221185603	0.8695265162046555	0.9398636863435543	0.12554537442899616	2.981823445771635e-25
CREBBP_truncating	0.9330137380007563	0.7515712384424322	0.8115658538723577	0.8453174438604898	0.27319092525327765	4.408406816053324e-06
EP300_missense	0.7515712384424322	0.9398636863435543	0.5531319149705654	0.490004051458653	0.5937942993958051	1.2403741172380104e-19
EP300_truncating	0.49057493375466593	0.8915339033498804	0.917059462534492	0.7711475288829238	0.7515712384424322	3.85103300203311e-16
FOXQ1_missense	0.03844192074168464	0.6509205221185603	0.7713651655928461	0.7713651655928461	0.2824888901139969	2.4366061387314464e-24
KDM6A_missense	0.0124284841790328	0.8115658538723577	0.9643098464081706	0.9643098464081706	0.23571346703174575	3.887630320129993e-34
KDM6A_truncating	0.0001743118995836875	0.9398636863435543	0.6509205221185603	0.7515712384424322	0.7973095968951698	3.9421110868735665e-17
KMT2C_missense	0.8453174438604898	0.7145710675475319	0.6138058033794949	0.2449259699431316	0.9398636863435543	2.6615672731878375e-36
KMT2C_truncating	0.1063516868449496	0.9643098464081706	0.8915339033498804	0.8266361488380289	0.8453174438604898	6.851884036411917e-22
KMT2D_missense	0.32744247969580104	0.5745263383390835	0.8115658538723577	0.7515712384424322	0.8625164927747763	2.5437512694425474e-59
KMT2D_truncating	0.09454406604040587	0.988993757991623	0.9643098464081706	0.8115658538723577	0.5331395540717239	3.8561054175373963e-19
NOTCH2_missense	0.8138051273041768	0.5445228901578028	0.7239574621637667	0.9398636863435543	0.7383373564775519	1.5579867594519677e-24
NOTCH2_truncating	0.8453174438604898	0.3670646964402987	0.8625164927747763	0.9398636863435543	0.741048542099487	6.957923040745445e-13
RB1_missense	0.8625164927747763	0.6764654988105264	0.8625164927747763	0.9398636863435543	0.8695265162046555	4.40356953934458e-25
RBM10_missense	0.9162033060154885	0.14954616006389831	0.9001569242495211	0.1639846305504811	0.13795852853383025	6.474996334349921e-24
RBM10_truncating	0.14535633150589594	0.45647009101450703	0.5634915302124347	0.490004051458653	0.0008871570436423608	1.6911417224662245e-15
STAG2_missense	0.1051771733603286	0.7515712384424322	0.9303691288150976	0.9643098464081706	0.6930872399560295	1.5263737179598143e-19
STAG2_truncating	0.1051771733603286	0.6764654988105264	0.20392860345873953	0.8115658538723577	0.1051771733603286	4.055819427223884e-08
TP53_missense	0.8453174438604898	0.9643098464081706	0.9001569242495211	0.8695265162046555	0.7383373564775519	2.7671212268493855e-17
total_truncating	0.0012286872349502515	0.8625164927747763	0.9643098464081706	0.8115658538723577	0.14954616006389831	5.3927465575763485e-31
total_missense	0.7711475288829238	0.22360677839369744	0.24813853681957918	0.9713930915088946	0.8115658538723577	1.0455418579643122e-06
