Samples	SBS96A	SBS96B	SBS96C
P19_0001_BDO_01	26	44	17
P19_0001_BTR_01	164	30	0
P19_0002_BDO_01	138	330	481
P19_0002_BTR_01	168	245	573
P19_0003_BDO_01	325	360	82
P19_0004_BDO_01	490	277	77
P19_0004_BTR_01	497	234	63
P19_0005_BDO_01	150	247	108
P19_0005_BTR_01	192	218	51
P19_0006_BDO_01	141	116	47
P19_0007_BDO_01	59	129	27
P19_0007_BTR_01	108	112	24
P19_0008_BDO_01	150	112	530
P19_0008_BTR_01	114	289	797
P19_0009_BDO_01	56	114	309
P19_0009_BTR_01	209	123	472
P19_0011_BDO_01	256	262	34
P19_0011_BTR_01	187	226	28
P19_0012_BDO_01	309	18	414
P19_0012_BTR_01	487	0	538
P19_0013_BDO_01	9	35	95
P19_0013_BTR_01	0	53	64
P19_0014_BDO_01	327	255	19
P19_0014_BTR_01	225	200	0
P19_0015_BDO_01	224	357	103
P19_0015_BTR_01	230	456	165
P19_0016_BDO_01	184	158	41
P19_0016_BTR_01	261	234	63
P19_0018_BDO_01	79	379	37
P19_0018_BTR_01	180	485	36
P19_0019_BDO_01	285	96	61
P19_0019_BTR_01	279	135	33
P19_0020_BDO_01	169	159	50
P19_0020_BTR_01	127	149	82
P19_0023_BDO_01	288	455	456
P19_0023_BTR_01	248	485	506
P19_0024_BDO_01	130	2	136
P19_0024_BTR_01	106	0	210
P19_0025_BDO_01	65	369	66
P19_0025_BTR_01	126	290	119
P19_0026_BDO_01	515	35	156
P19_0026_BTR_01	599	44	33
P19_0027_BTR_01	5	68	43
P19_0028_BDO_01	291	396	57
P19_0028_BTR_01	319	375	8
P19_0029_BDO_01	216	226	89
P19_0029_BTR_01	362	358	107
P19_0030_BTR_01	5	54	99
P19_0031_BTR_01	120	117	0
P19_0033_BDO_01	113	12	36
P19_0033_BTR_01	86	33	21
P19_0034_BDO_01	466	150	48
P19_0034_BTR_01	496	69	7
P19_0035_BDO_01	239	427	151
P19_0036_BTR_01	0	25	0
P19_0038_BDO_01	229	244	195
P19_0039_BTR_01	214	278	141
P19_0040_BDO_01	134	65	128
P19_0040_BTR_01	84	30	41
P19_0041_BDO_01	196	184	56
P19_0041_BTR_01	168	91	24
P19_0042_BDO_01	431	475	38
P19_0042_BTR_01	204	399	54
P19_0043_BTR_01	324	18	94
P19_0045_BDO_01	16	215	17
P19_0045_BTR_01	27	161	35
P19_0046_BDO_01	185	398	17
P19_0046_BTR_01	97	150	29
P19_0047_BDO_01	187	143	0
P19_0047_BTR_01	119	75	0
P19_0048_BTR_01	128	167	411
P19_0050_BDO_01	603	253	11
P19_0050_BTR_01	704	293	69
P19_0051_BDO_01	236	362	45
P19_0051_BTR_01	281	519	99
P19_0052_BDO_01	39	91	37
P19_0052_BTR_01	56	88	58
P19_0053_BDO_01	206	351	35
P19_0053_BTR_01	162	265	18
