	had_prior_chemotherapy	is_male	age_decades:history_smoking	bmi_scaled
ARID1A	0.00010454627493715507	0.639022182103717	0.06359488517330064	0.9242525080408873
CDKN1A	0.22844337687165386	0.6964656160622184	0.327911484564999	0.8572167272948734
CREBBP	4.607878834877938e-05	0.8572167272948734	0.02575892051216509	0.9815674377005355
EP300	0.0007128103844086587	0.531800990911289	0.17362496818485998	0.8572167272948734
KDM6A	0.008004388102315046	0.531800990911289	0.04910633388517142	0.883988501755031
KMT2C	0.0007964179824677183	0.6219844522829093	0.09725707055699305	0.4035026121116694
KMT2D	0.0009296857047430661	0.531800990911289	0.016336859443804155	0.9815674377005355
NOTCH2	0.00013165837909893748	0.9288435276255238	0.046515379616142404	0.9242525080408873
RBM10	0.003987738350315422	0.324912159685679	0.07522213421155098	0.8572167272948734
STAG2	0.2371837337865376	0.08643943509042706	0.016336859443804155	0.6964656160622184
TP53	3.794022419474275e-05	0.910345445096551	0.2371837337865376	0.47973952244972146
total	4.607878834877938e-05	0.6832402732477062	0.016336859443804155	0.9815674377005355
