CHROM	POS	GENE
chr1	26729634	ARID1A
chr1	26729635	ARID1A
chr1	26729636	ARID1A
chr1	26729637	ARID1A
chr1	26729638	ARID1A
chr1	26729639	ARID1A
chr1	26729640	ARID1A
chr1	26729641	ARID1A
chr1	26729642	ARID1A
chr1	26729643	ARID1A
chr1	26729644	ARID1A
chr1	26729645	ARID1A
chr1	26729646	ARID1A
chr1	26729647	ARID1A
chr1	26729648	ARID1A
chr1	26729649	ARID1A
chr1	26729650	ARID1A
chr1	26729651	ARID1A
chr1	26729652	ARID1A
chr1	26729653	ARID1A
chr1	26729654	ARID1A
chr1	26729655	ARID1A
chr1	26729656	ARID1A
chr1	26729657	ARID1A
chr1	26729658	ARID1A
chr1	26729659	ARID1A
chr1	26729660	ARID1A
chr1	26729661	ARID1A
chr1	26729662	ARID1A
chr1	26729663	ARID1A
chr1	26729664	ARID1A
chr1	26729665	ARID1A
chr1	26729666	ARID1A
chr1	26729667	ARID1A
chr1	26729668	ARID1A
chr1	26729669	ARID1A
chr1	26729670	ARID1A
chr1	26729671	ARID1A
chr1	26729672	ARID1A
chr1	26729673	ARID1A
chr1	26729674	ARID1A
chr1	26729675	ARID1A
chr1	26729676	ARID1A
chr1	26729677	ARID1A
chr1	26729678	ARID1A
chr1	26729679	ARID1A
chr1	26729680	ARID1A
chr1	26729681	ARID1A
chr1	26729682	ARID1A
chr1	26729683	ARID1A
chr1	26729684	ARID1A
chr1	26729685	ARID1A
chr1	26729686	ARID1A
chr1	26729687	ARID1A
chr1	26729688	ARID1A
chr1	26729689	ARID1A
chr1	26729690	ARID1A
chr1	26729691	ARID1A
chr1	26729692	ARID1A
chr1	26729693	ARID1A
chr1	26729694	ARID1A
chr1	26729695	ARID1A
chr1	26729696	ARID1A
chr1	26729697	ARID1A
chr1	26729698	ARID1A
chr1	26729699	ARID1A
chr1	26729700	ARID1A
chr1	26729701	ARID1A
chr1	26729702	ARID1A
chr1	26729703	ARID1A
chr1	26729704	ARID1A
chr1	26729705	ARID1A
chr1	26729706	ARID1A
chr1	26729707	ARID1A
chr1	26729708	ARID1A
chr1	26729709	ARID1A
chr1	26729710	ARID1A
chr1	26729711	ARID1A
chr1	26729712	ARID1A
chr1	26729713	ARID1A
chr1	26729714	ARID1A
chr1	26729715	ARID1A
chr1	26729716	ARID1A
chr1	26729717	ARID1A
chr1	26729718	ARID1A
chr1	26729719	ARID1A
chr1	26729720	ARID1A
chr1	26729721	ARID1A
chr1	26729722	ARID1A
chr1	26729723	ARID1A
chr1	26729724	ARID1A
chr1	26729725	ARID1A
chr1	26729726	ARID1A
chr1	26729727	ARID1A
chr1	26729728	ARID1A
chr1	26729729	ARID1A
chr1	26729730	ARID1A
chr1	26729731	ARID1A
chr1	26729732	ARID1A
chr1	26729733	ARID1A
chr1	26729734	ARID1A
chr1	26729735	ARID1A
chr1	26729736	ARID1A
chr1	26729737	ARID1A
chr1	26729738	ARID1A
chr1	26729739	ARID1A
chr1	26729740	ARID1A
chr1	26729741	ARID1A
chr1	26729742	ARID1A
chr1	26729743	ARID1A
chr1	26729744	ARID1A
chr1	26729745	ARID1A
chr1	26729746	ARID1A
chr1	26729747	ARID1A
chr1	26729748	ARID1A
chr1	26729749	ARID1A
chr1	26729750	ARID1A
chr1	26729751	ARID1A
chr1	26729752	ARID1A
chr1	26729753	ARID1A
chr1	26729754	ARID1A
chr1	26729755	ARID1A
chr1	26729756	ARID1A
chr1	26729757	ARID1A
chr1	26729758	ARID1A
chr1	26729759	ARID1A
chr1	26729760	ARID1A
chr1	26729761	ARID1A
chr1	26729762	ARID1A
chr1	26729763	ARID1A
chr1	26729764	ARID1A
chr1	26729765	ARID1A
chr1	26729766	ARID1A
chr1	26729767	ARID1A
chr1	26729768	ARID1A
chr1	26729769	ARID1A
chr1	26729770	ARID1A
chr1	26729771	ARID1A
chr1	26729772	ARID1A
chr1	26729773	ARID1A
chr1	26729774	ARID1A
chr1	26729775	ARID1A
chr1	26729776	ARID1A
